Naam,CPU Percentage,timediff
compair,33.325,0.01832437515258789
compair,33.325,0.01807427406311035
friction,25.0,0.006173610687255859
friction,25.0,0.006268024444580078
narendra4,52.075,0.030510663986206055
narendra4,45.825,0.030081748962402344
pt2,25.0,0.01570606231689453
pt2,25.0,0.014658927917480469
P0Y0_narendra4,25.0,0.00562739372253418
P0Y0_narendra4,25.0,0.005827426910400391
P0Y0_compair,25.0,0.0040433406829833984
P0Y0_compair,25.0,0.0038917064666748047
gradient,42.575,0.5400762557983398
gradient,47.25,0.5279271602630615
Im Rec,57.05,3.1097798347473145
Im Rec,56.175,3.0236551761627197
FashionMNIST,37.4,0.4810922145843506
FashionMNIST,32.875,0.4761176109313965
