Naam,CPU Percentage,timediff,virtual mem
compair,25.0,0.15920591354370117,
compair,25.0,0.16077017784118652,
compair,25.0,0.15943050384521484,
compair,25.0,0.1595761775970459,
compair,23.6,0.1734769344329834,
compair,25.0,0.15973877906799316,
compair,25.0,0.158705472946167,
compair,25.0,0.15832185745239258,
compair,25.0,0.15890121459960938,
compair,25.0,0.15847349166870117,
compair,26.475,0.1586756706237793,
compair,26.475,0.15885376930236816,
compair,25.0,0.15842008590698242,
compair,25.0,0.1580662727355957,
compair,25.0,0.15878891944885254,
compair,25.0,0.15874433517456055,
compair,25.0,0.15855193138122559,
compair,25.0,0.15915489196777344,
compair,25.0,0.15859270095825195,
compair,25.0,0.15889334678649902,
friction,25.0,0.05531620979309082,
friction,25.0,0.05528759956359863,
friction,25.0,0.055176496505737305,
friction,25.0,0.055261850357055664,
friction,25.0,0.05533647537231445,
friction,25.0,0.05531454086303711,
friction,25.0,0.05533742904663086,
friction,25.0,0.05528759956359863,
friction,25.0,0.05537223815917969,
friction,25.0,0.05526113510131836,
friction,25.0,0.05518746376037598,
friction,25.0,0.055328369140625,
friction,25.0,0.055450439453125,
friction,25.0,0.05526447296142578,
friction,25.0,0.05532526969909668,
friction,25.0,0.055452823638916016,
friction,25.0,0.05532979965209961,
friction,25.0,0.05505728721618652,
friction,25.0,0.05507540702819824,
friction,25.0,0.05518651008605957,
narendra4,25.0,0.22754311561584473,
narendra4,25.0,0.22771096229553223,
narendra4,25.0,0.22759461402893066,
narendra4,25.0,0.2279345989227295,
narendra4,25.0,0.2278459072113037,
narendra4,25.0,0.2272663116455078,
narendra4,25.0,0.22752785682678223,
narendra4,25.0,0.22824645042419434,
narendra4,26.05,0.22742104530334473,
narendra4,25.0,0.2274153232574463,
narendra4,25.0,0.228440523147583,
narendra4,25.0,0.22793292999267578,
narendra4,25.0,0.22795963287353516,
narendra4,25.0,0.2272951602935791,
narendra4,25.0,0.22768473625183105,
narendra4,25.0,0.22814321517944336,
narendra4,25.0,0.22759127616882324,
narendra4,25.0,0.2278594970703125,
narendra4,25.0,0.22816896438598633,
narendra4,25.0,0.22835874557495117,
pt2,25.0,0.11832547187805176,
pt2,25.0,0.11797142028808594,
pt2,25.0,0.11763525009155273,
pt2,25.0,0.1183772087097168,
pt2,25.0,0.11764788627624512,
pt2,25.0,0.11808109283447266,
pt2,25.0,0.11782360076904297,
pt2,25.0,0.11766719818115234,
pt2,25.0,0.11802411079406738,
pt2,25.0,0.11808991432189941,
pt2,25.0,0.11747574806213379,
pt2,25.0,0.11791276931762695,
pt2,25.0,0.11794900894165039,
pt2,25.0,0.1174924373626709,
pt2,25.0,0.1177833080291748,
pt2,25.0,0.11760973930358887,
pt2,25.0,0.11743354797363281,
pt2,25.0,0.1178748607635498,
pt2,25.0,0.11760282516479492,
pt2,25.0,0.11767864227294922,
P0Y0_narendra4,25.0,0.04454183578491211,
P0Y0_narendra4,25.0,0.04451704025268555,
P0Y0_narendra4,25.0,0.04450726509094238,
P0Y0_narendra4,25.0,0.04443764686584473,
P0Y0_narendra4,25.0,0.04460310935974121,
P0Y0_narendra4,25.0,0.04465532302856445,
P0Y0_narendra4,25.0,0.044486045837402344,
P0Y0_narendra4,25.0,0.04456901550292969,
P0Y0_narendra4,25.0,0.044490814208984375,
P0Y0_narendra4,25.0,0.04460453987121582,
P0Y0_narendra4,25.0,0.04456782341003418,
P0Y0_narendra4,25.0,0.04463529586791992,
P0Y0_narendra4,25.0,0.04448080062866211,
P0Y0_narendra4,25.0,0.04474687576293945,
P0Y0_narendra4,25.0,0.04436945915222168,
P0Y0_narendra4,25.0,0.044713497161865234,
P0Y0_narendra4,25.0,0.044498443603515625,
P0Y0_narendra4,25.0,0.04463601112365723,
P0Y0_narendra4,25.0,0.04451560974121094,
P0Y0_narendra4,25.0,0.044554948806762695,
P0Y0_compair,25.0,0.03288578987121582,
P0Y0_compair,25.0,0.03312373161315918,
P0Y0_compair,25.0,0.0330350399017334,
P0Y0_compair,25.0,0.03305363655090332,
P0Y0_compair,25.0,0.03298068046569824,
P0Y0_compair,25.0,0.03304100036621094,
P0Y0_compair,25.0,0.033028602600097656,
P0Y0_compair,25.0,0.033125877380371094,
P0Y0_compair,25.0,0.03311347961425781,
P0Y0_compair,25.0,0.032949209213256836,
P0Y0_compair,25.0,0.0328977108001709,
P0Y0_compair,25.0,0.03315901756286621,
P0Y0_compair,25.0,0.033046722412109375,
P0Y0_compair,25.0,0.03299522399902344,
P0Y0_compair,25.0,0.033004045486450195,
P0Y0_compair,25.0,0.03312087059020996,
P0Y0_compair,25.0,0.03307771682739258,
P0Y0_compair,25.0,0.03298187255859375,
P0Y0_compair,25.0,0.03289318084716797,
P0Y0_compair,25.0,0.0329592227935791,
gradient,25.0,4.830245018005371,
gradient,25.05,4.823896646499634,
gradient,25.05,4.844103813171387,
gradient,25.1,4.837784290313721,
gradient,25.05,4.838585376739502,
gradient,25.3,4.8342812061309814,
gradient,25.0,4.835813760757446,
gradient,25.0,4.830448389053345,
gradient,25.05,4.844235181808472,
gradient,25.0,4.833900690078735,
gradient,25.0,4.837320327758789,
gradient,25.0,4.8284592628479,
gradient,25.05,4.837467908859253,
gradient,25.05,4.842256307601929,
gradient,25.0,4.8366734981536865,
gradient,25.0,4.84065055847168,
gradient,25.0,4.835237503051758,
gradient,25.65,4.841094970703125,
gradient,25.15,4.828753709793091,
gradient,25.05,4.841486930847168,
Im Rec,55.925,23.6775484085083,
Im Rec,56.4,23.19703221321106,
Im Rec,56.675000000000004,23.331509828567505,
Im Rec,56.25,23.204939365386963,
Im Rec,56.4,23.175862312316895,
Im Rec,56.275,23.235368967056274,
Im Rec,56.225,23.193000316619873,
Im Rec,56.525,23.408429384231567,
Im Rec,56.225,23.443256855010986,
Im Rec,55.8,23.264700174331665,
Im Rec,56.25,23.517938375473022,
Im Rec,56.4,23.396520376205444,
Im Rec,56.575,23.301333904266357,
Im Rec,56.175,23.392786026000977,
Im Rec,56.4,23.252462148666382,
Im Rec,56.275,23.345693111419678,
Im Rec,56.15,23.498692989349365,
Im Rec,56.4,23.334414958953857,
Im Rec,56.5,23.382174015045166,
Im Rec,56.35,23.383057355880737,
FashionMNIST,25.0,1.1093835830688477,
FashionMNIST,25.0,1.1088519096374512,
FashionMNIST,25.0,1.1090147495269775,
FashionMNIST,25.0,1.1084091663360596,
FashionMNIST,25.0,1.1091327667236328,
FashionMNIST,25.0,1.1084942817687988,
FashionMNIST,25.0,1.1085937023162842,
FashionMNIST,25.0,1.1089658737182617,
FashionMNIST,25.0,1.1086020469665527,
FashionMNIST,25.0,1.1085610389709473,
FashionMNIST,25.0,1.1084794998168945,
FashionMNIST,25.0,1.1090607643127441,
FashionMNIST,25.0,1.108642339706421,
FashionMNIST,25.0,1.109076738357544,
FashionMNIST,25.225,1.1086227893829346,
FashionMNIST,25.0,1.1091923713684082,
FashionMNIST,25.225,1.109011173248291,
FashionMNIST,25.0,1.1086935997009277,
FashionMNIST,25.0,1.109010934829712,
FashionMNIST,25.0,1.1088461875915527,
Totaal,1.625,29.929950737953185,
